ticker,cnpj,nome,segmento,classe,frac_imoveis
0N1Q11,58.823.628/0001-77,CAPSICUM FUNDO DE INVESTIMENTO,Tijolo (outros),tijolo,2.0
0N4011,58.863.998/0001-38,XP LOGÍSTICO PRIME YIELD FUNDO DE INVESTIMENTO I,Logística,tijolo,4.82
0N8311,42.537.492/0001-07,PRIMEOFFICES III FII,Lajes,tijolo,2.0
0NIQ11,59.658.166/0001-42,BTG AAA CAJAMAR FII,Tijolo (outros),tijolo,1.6
0NK111,58.548.730/0001-01,FII LMNX FII RESPONSABILIDADE LIMITADA,Tijolo (outros),tijolo,1.97
0NT711,59.521.704/0001-52,QUATRO GERACOES FI NAS CADEIAS PROD DO AGRO - RE,Tijolo (outros),tijolo,1.43
0NYJ11,60.551.924/0001-08,FUNDO DE INVESTIMENTO IMOBILIÁRIO TG RENDA URBAN,Renda Urbana,tijolo,1.8
0O2D11,60.750.887/0001-67,PERMUTA LOTE 5 CAMPINAS FI IMOBILIÁRIO RESP LIMI,Tijolo (outros),tijolo,12.41
0OAA11,61.112.477/0001-53,PROPP II FUNDO DE INVESTIMENTO IMOBILIÁRIO,Tijolo (outros),tijolo,1.92
0OC111,60.922.008/0001-37,PRIME LOGISTICA FII,Logística,tijolo,2.21
0OCR11,61.103.762/0001-08,FUNDO DE INVESTIMENTO IMOBILIÁRIO JIVEMAUÁ PROPR,Tijolo (outros),tijolo,0.61
0OEM11,60.220.343/0001-93,GUIMMAR FUNDO DE INVESTIMENTO IMOBILIÁRI,Tijolo (outros),tijolo,1.98
0OVB11,61.848.349/0001-72,AZ QUEST PANORAMA RENDA CDI,Tijolo (outros),hibrido,0.39
0OVR11,61.293.720/0001-87,FII GENESIS CAPITAL PREMIUM PROPERTIES RL,Tijolo (outros),tijolo,16.54
0P1411,61.762.309/0001-03,CORPORATE CHUCRI - FII - RESPONSABILIDADE LIMITA,Lajes,hibrido,0.27
0P1Y11,61.516.271/0001-99,FII XP RENDA IMOBILIARIA MASTER,Tijolo (outros),tijolo,2.21
0P7L11,62.173.916/0001-09,LOTUS TOWER FII,Tijolo (outros),tijolo,1.8
0PAF11,62.305.611/0001-03,RIZA TRAKTOS FII,Tijolo (outros),tijolo,1.84
0PF211,19.131.224/0001-60,SAPUCAÍ RIO FUNDO DE INVESTIMENTO IMOBILIÁRIO - ,Tijolo (outros),tijolo,1.96
