cd_cvm,nome,denom_social,denom_comerc,setor,setor_cvm,categ_reg,tp_merc,sit_emissor,sit_cvm,gov_listagem_default,cnpj,ticker_b3,controle_acionario,mun,uf,dt_const,dt_reg,auditor
9520,PETROLUSA,PETROLEO LUB DO NORDESTE SA,PETROLUSA,Energia,Petróleo e Gás,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,07.275.159/0001-68,,PRIVADO,FORTALEZA,CE,1967,1975,GAMA & CIA AUDITORES INDEP SC
25780,PETRORECÔNCAVO,PETRORECÔNCAVO S.A.,PETRORECÔNCAVO S.A.,Energia,Emp. Adm. Part. - Petróleo e Gás,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,03.342.704/0001-30,,PRIVADO,MATA DE SÃO JOÃO,BA,1999,2021,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
9539,PETTENATI,PETTENATI S.A. INDUSTRIA TEXTIL,PETTENATI,Consumo Disc.,Têxtil e Vestuário,Categoria B,BOLSA,FASE OPERACIONAL,ATIVO,3.0,88.613.658/0001-10,PTNT4,PRIVADO,CAXIAS DO SUL,RS,1964,1981,KPMG AUDITORES INDEPENDENTES LTDA.
28029,PLAMEV ADMINISTRADORA DE BENEFÍCIOS DE ATENÇÃO À SAÚDE DE ANIMAIS DOMÉSTICOS,PLAMEV ADMINISTRADORA DE BENEFÍCIOS DE ATENÇÃO À SAÚDE DE ANIMAIS DOMÉSTICOS S.A.,PLAMEV ADMINISTRADORA DE BENEFÍCIOS DE ATENÇÃO À SAÚDE DE ANIMAIS DOMÉSTICOS S.A.,Saude,Serviços Médicos,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,17.745.307/0001-14,,PRIVADO,NOVA LIMA,MG,2013,2026,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
25070,PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO,PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,,Imobiliario,"Construção Civil, Mat. Constr. e Decoração",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,24.230.275/0001-80,PLPL3,PRIVADO,SÃO PAULO,SP,2016,2020,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
13471,PLASCAR PARTICIPAÇÕES INDUSTRIAIS,PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,Industria,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,51.928.174/0001-50,PLAS3,PRIVADO,JUNDIAÍ,SP,1984,1989,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
27995,PLATÃO CAPITAL,PLATÃO CAPITAL S.A.,PLATÃO CAPITAL S.A.,Utilities,Emp. Adm. Part. - Energia Elétrica,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,49.703.913/0001-63,,PRIVADO,SÃO PAULO,SP,2023,2026,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
13447,POLPAR,POLPAR S.A.,POLPAR S.A.,Industria,Emp. Adm. Part. - Sem Setor Principal,Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,59.789.545/0001-71,,PRIVADO,SÃO PAULO,SP,1988,1989,ADVISER SUL AUDITORES INDEPENDENTES
15407,PORTO PONTA DO FELIX S,PORTO PONTA DO FELIX S/A,PORTO PONTA DO FELIX S,Industria,Serviços Transporte e Logística,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,85.041.333/0001-11,,PRIVADO,ANTONINA,PR,1996,1996,FORVIS MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.
27618,PORTO SAÚDE PARTICIPAÇÕES,PORTO SAÚDE PARTICIPAÇÕES S.A.,PORTO SAÚDE PARTICIPAÇÕES S.A.,Saude,Emp. Adm. Part. - Serviços médicos,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,46.573.272/0001-81,,PRIVADO,SÃO PAULO,SP,2022,2024,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
